Protein,Gene,Cor,Mean_RNA_expr
4-1BB,Tnfrsf9,-0.0144756079744799,0.0755137750025732
CD102,Icam2,0.0478476269181262,0.0100096064775105
CD103,Itgae,0.0584440677755622,0.0801883555769033
CD105,Eng,-0.0016127081670497,0.00262462689127526
CD106,Vcam1,0.0749760940071484,0.255781040930456
CD107a,Lamp1,0.108603228685214,2.06895220777439
CD115,Csf1r,0.00327207068679299,0.00429718324355851
CD117,Kit,0.267779408990282,0.308599512814355
CD11a,Itgal,0.172200646762249,0.30021099941675
CD11b-mh,Itgam,0.040779306469617,0.00126942738532267
CD11c,Itgax,0.223455798006466,0.563042508662984
CD122,Il2rb,-0.000379525342634973,0.0012436957491337
CD124,Il4ra,0.00321015655768892,0.654810100524925
CD127,Il7r,0.0430011733671569,0.0702645212200226
CD134,Tnfrsf4,-0.0309524048234528,1.0965279445569
CD135,Flt3,0.0197982603408189,0.665094177788452
CD137,Tnfrsf9,0.0563997422247452,0.0755137750025732
CD138,Sdc1,0.00377093104614063,0.00338799876488146
CD140a,Pdgfra,0.00463221688203157,0.000154389817133839
CD146,Mcam,-0.00049288182217342,0.000171544241259821
CD15-mh,Fut4,-0.00931649717123929,0.0573729714893471
CD150,Slamf1,0.368897746086054,0.0843397262153909
CD16-CD32,Fcgr3,0.000280537969797051,0.00401413524547981
CD16-CD32,Fcgr2b,-2.33461242866137e-05,0.043066181768278
CD172a,Sirpa,0.00727763646707562,0.0079510755823927
CD185,Cxcr5,-0.00497308801386166,0.0344203520087831
CD192,Ccr2,0.0060200255487733,0.024933955467115
CD193,Ccr3,-5.32193756446858e-05,0.00283047998078704
CD195,Ccr5,0.00474246882754774,0.0328335677771297
CD196,Ccr6,-0.00249002985652154,0.00233300168113356
CD197,Ccr7,0.0385896356919396,18.0636171818712
CD1d,Cd1d1,0.091827429659854,0.367104676296017
CD20,Ms4a1,0.0139722128559532,0.112567331114694
CD201,Procr,0.153576584394713,2.47356503242186
CD204,Msr1,-0.000213546519019132,0.00032593405839366
CD207-mh,Cd207,0.00817770451308092,0.144234398051257
CD223,Lag3,0.00449892199788014,0.069878546677188
CD23,Fcer2a,-0.000648529417064511,0.000180121453322812
CD24,Cd24a,0.144529188671612,1.20478093800391
CD25,Il2ra,0.0831227219267848,0.473693690602806
CD26,Dpp4,0.0557303464311201,0.705587195937832
CD270,Tnfrsf14,0.0129954266254072,0.0293254880433664
CD272,Btla,0.0547947706811983,1.1665437266271
CD278,Icos,0.110172726506269,0.127423062407795
CD279,Pdcd1,0.0116437494262218,0.0151473565032422
CD29,Itgb1,0.0416829166536041,1.94540604521906
CD3,Cd3e,0.00123069446805965,0.000952070538992006
CD300c-d,Cd300c,0.000711825866162452,0.0280389062339177
CD300c-d,Cd300c2,0.00155316945189405,0.156096682334374
CD301a,Clec10a,0.0319281094273706,0.00126085017325968
CD301b,Mgl2,-0.00104220119865945,0.000265893573952722
CD304,Nrp1,-0.00059379213592984,0.0319586921467046
CD309,Kdr,0.0042707644111593,0.0482296634301986
CD31,Pecam1,0.0342240212918073,0.0328421449891927
CD314,Klrk1,0.0480191203797068,0.73144749030775
CD317,Bst2,0.17007399292288,3.58803650461454
CD326,Epcam,0.00907005237007866,0.0070847771640306
CD335,Ncr1,-0.00120677805634069,6.86176965039284e-05
CD357,Tnfrsf18,-0.0214355007165782,0.212371770679658
CD366,Havcr2,0.141036826792071,0.385168284900676
CD370,Clec9a,0.00578072287416269,0.893222287027824
CD371,Clec12a,0.142977145353852,0.563282670600748
CD39,Entpd1,0.0681432140832292,0.0914588122276735
CD41,Itga2b,0.0052314374014206,0.00447730469688133
CD43,Spn,0.0862802052309089,0.0126170789446598
CD49a,Itga1,-0.00395807745009596,0.0193073043537928
CD49b,Itga2,0.0213637181622585,0.000111503756818884
CD49d,Itga4,0.056454679695383,4.68501904141078
CD49f,Itga6,0.0214182879387655,0.0364703056918379
CD54,Icam1,0.0402012650978595,1.9997684152743
CD62L,Sell,0.286910282584019,0.0867499228050914
CD62P,Selp,-0.00801658552042812,0.00120080968881875
CD64,Fcgr1,0.00286468413880248,0.0102068823549593
CD71,Tfrc,0.0244278003231068,0.0212457542800288
CD73,Nt5e,0.0066033658975877,0.000223007513637767
CD8b,Cd8b1,0.409307363765727,0.0337255978316808
CD90-A0075,Thy1,0.0102239236469442,0.00131231344563763
CD90-A0380,Thy1,0.00715389759110417,0.00131231344563763
CD95,Fas,0.104033113990571,0.617250488901088
DR3,Tnfrsf25,-0.00101566303169213,0.000334511270456651
F4-80,Adgre1,0.00339659273350449,0.00600404844409373
FceRIa,Fcer1a,-0.00141082397691719,8.57721206299105e-06
Folate,Gm18334,-0.000220110792190505,8.57721206299105e-06
Folate,Slc19a1,-0.00380085936146857,0.00272755343603115
Folate,Folh1,-0.000381246345441015,2.57316361889731e-05
Folate,Gm17919,NA,0
Folate,Folr2,-0.000311285002533551,1.71544241259821e-05
Folate,Folr1,-0.000440227248349725,3.43088482519642e-05
IgD,Ighd,0.000196962079107516,0.00536933475143239
IgG-Hamster,Ighv1-62,NA,0
IgG1-Mouse-k,Ighg1,0.00935705974862814,0.000223007513637767
IgG1-Rat-l,Ighg1,-0.00371993809980885,0.000223007513637767
IgG1-Rat-k,Ighg1,0.00464948402528341,0.000223007513637767
IgG2a-Rat-k,Ighv1-9,NA,0
IgG2a-Mouse-k,Ighv1-9,NA,0
IgG2a,Ighv1-9,NA,0
IgG2b-Mouse-k,Ighg2b,0.000767662211217232,0.00158678423165334
IgG2b-Rat-k,Ighg2b,0.00100487051364906,0.00158678423165334
IgM,Ighm,0.000604172513884502,0.365037568188836
IL33Ra,Il1rl1,-0.000758143905891073,8.57721206299105e-05
Integrin,Itga7,-0.00521740431875385,0.000651868116787319
Integrin,Itga2b,0.00554522374699048,0.00447730469688133
Integrin,Itgax,0.0667150346099403,0.563042508662984
Integrin,Itga1,0.0160793480900755,0.0193073043537928
Integrin,Ibsp,NA,0
Integrin,Itgal,0.0540430469862636,0.30021099941675
Integrin,Itga10,0.00162833505000465,0.000780526297732185
Integrin,Ilk,-0.00172086123859837,0.452130579476447
Integrin,Itga9,0.00788372835264293,0.00132089065770062
Integrin,Itgad,0.00375024182941943,0.000789103509795176
KCC2,Slc12a5,-0.000530501930847995,0.000171544241259821
KLRG1-mh,Klrg1,-0.000684506341355201,4.28860603149552e-05
Ly49D,Klra4,0.000264737899722757,0.00157820701959035
Ly6A-Ly6E,Ly6a,0.200934408980997,1.03829725186125
Ly6A-Ly6E,Ly6e,0.196804045436508,7.29366658661269
Ly6C,Ly6c1,0.000138883979598017,0.0020070676227399
Mac2,Lgals3,0.00392449325339093,8.39767386008852
NK1-1,Nkx1-1,NA,0
Notch,Sbno1,-0.00616493018750421,0.73121590558205
Notch,Notch1,0.0127765653582449,0.111357944213813
Notch,Notch3,-0.00232757045566048,0.000317356846330669
Notch,Notch2,-0.000794489079620147,0.109496689196144
Notch,Dll3,-0.000382591143426095,8.57721206299105e-06
